Calotropis procera ,(Aiton) W.T.Aiton ,Asclepiadaceae,,"Arbre à soie du Sénégal, pomme de Sodome",Calotropis procera (Aiton) W.T. Aiton,SPECIES,Apocynaceae,Calotropis procera,100,EXACT
Cananga odorata ,(Lam.) Hook. f. & Thoms.,Annonaceae,Uvaria odorata Lam.  ,Ylang-ylang,Cananga odorata (Lam.) Hook. f. & Thomson,SPECIES,Annonaceae,Cananga odorata,100,EXACT
Canna generalis ,L.H.Bailey ‘Brilliant’,Cannaceae,,canna,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis ,L.H.Bailey ‘Cleopatra’,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis ,L.H.Bailey ‘Confetti’,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis ,L.H.Bailey ‘Lucifer’,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis, L.H.Bailey ‘President’,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis ,L.H.Bailey ‘Richard Wallace’,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna generalis ,L.H.Bailey striatus,Cannaceae,,,Canna ×generalis,SPECIES,Cannaceae,Canna generalis,100,EXACT
Canna indica ,L.,Cannaceae,Canna compacta Hort. ex Bouche; Canna edulis Ker Gawl.,"Conflore, balisier, canne d'Inde",Canna indica L.,SPECIES,Cannaceae,Canna indica,100,EXACT
Caralluma praegracilis,Oberm.,Asclepiadaceae,C. caudata N.E.Br.; C.caudata N.E.Br. var. fusca C.A.Lückh.;C.longecornuta Croizat ex Gomes e Sousa;  Orbeopsis caudata (N.E.Br.) L.C.Leachsubsp. caudata; Orbea caudata (N.E.Br.) Bruyns subsp. caudata,,Caralluma praegracilis Oberm.,SPECIES,Apocynaceae,Caralluma praegracilis,100,EXACT
Carex elegantissima ,Willd.,Dracaenaceae,,,Carex L.,GENUS,Cyperaceae,Carex,96,HIGHERRANK
Carica papaya ,L.,Caricaceae,,papaye,Carica papaya L.,SPECIES,Caricaceae,Carica papaya,100,EXACT
Caryota mitis ,Lour.,Arecaceae,,"palmier céleri multipliant, palmier queue de poisson, dartrier",Caryota mitis Lour.,SPECIES,Arecaceae,Caryota mitis,100,EXACT
Cassia alata ,L.,Caesalpiniaceae,Senna alata (L.) Roxb.; Herpetica alata (L.) Raf.,,Cassia alata L.,SPECIES,Fabaceae,Cassia alata,100,EXACT
Cassia siamea ,Lam.,Caesalpiniaceae,Senna siamea (Lam.) Irwin & Barneby; Cassia florida Vahl.,"Casse du Siam, bois perdrix",Cassia siamea Lam.,SPECIES,Fabaceae,Cassia siamea,100,EXACT
Casuarina equisetifolia ,L.,Casuarinaceae,C. equisetifolia J.R.Forst. & G.Forst. ; C. litorea L. ex Fosberg & Sachet  ,"Filao à feuilles de prêle, Pin australien.",Casuarina equisetifolia L.,SPECIES,Casuarinaceae,Casuarina equisetifolia,100,EXACT
